MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
ALMEIDA,315022000196,INSTITUCIÓN  EDUCATIVA ENRIQUE SUAREZ,215022000078,EL ROSAL,EL ROSAL
ALMEIDA,315022000196,INSTITUCIÓN  EDUCATIVA ENRIQUE SUAREZ,215022000086,SAN CARLOS,TONA
ALMEIDA,315022000196,INSTITUCIÓN  EDUCATIVA ENRIQUE SUAREZ,215022000094,UMBAVITA,UMBAVITA
ALMEIDA,315022000196,INSTITUCIÓN  EDUCATIVA ENRIQUE SUAREZ,215022000108,COLEGIO DE EDUCACIÓN BASICA MOLINOS,MOLINOS
ALMEIDA,315022000196,INSTITUCIÓN  EDUCATIVA ENRIQUE SUAREZ,215022000302,BELEN JOSE SALVADOR DIAZ PERILLA,BELEN
ALMEIDA,315022000196,INSTITUCIÓN  EDUCATIVA ENRIQUE SUAREZ,215022000116,TIBAITA,TIBAITA
AQUITANIA,115047000019,INSTITUCIÓN  EDUCATIVA TECNICA RAMON IGNACIO AVELLA,215047000609,CORTADERAL,CORTADERAL
AQUITANIA,115047000019,INSTITUCIÓN  EDUCATIVA TECNICA RAMON IGNACIO AVELLA,215047000048,HIRVA,HIRVA
AQUITANIA,215047000099,INSTITUCIÓN  EDUCATIVA REGIÓN SUR DE AQUITANIA,215047000587,SAN JUAN DE MOMBITA,MOMBITA
AQUITANIA,215047000099,INSTITUCIÓN  EDUCATIVA REGIÓN SUR DE AQUITANIA,215047000421,TOCUAVITA,MOMBITA
AQUITANIA,215047000099,INSTITUCIÓN  EDUCATIVA REGIÓN SUR DE AQUITANIA,215047000579,DIGANOME,MOMBITA
AQUITANIA,215047000099,INSTITUCIÓN  EDUCATIVA REGIÓN SUR DE AQUITANIA,215047000111,LA SALINA,SISVACA
AQUITANIA,215047000099,INSTITUCIÓN  EDUCATIVA REGIÓN SUR DE AQUITANIA,215047000510,SAN ANTONIO,SISVACA
AQUITANIA,215047000099,INSTITUCIÓN  EDUCATIVA REGIÓN SUR DE AQUITANIA,215047000544,CAZADERO,MOMBITA
